Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes
Petronas 2021-05,Spot Index,Bintulu LNG Terminal,152564.0,2021-08-25,BeijingGas Singapore 2021-02,Cao Fei Dian 11,2021-09-03,British Achiever,Spot Index,Withnell Bay,2021-09-22,No,No,0.1203,"ICE Brent Frontline (3,1,1)",-0.62,8.04,1.0,JKM Monthly,-0.11,15.54,3455736.0,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,12.817708333333334,8.877314814814815,,"Initial Titan wiring: TAC Petronas 2021-05, Port: TAC Pacific Titan Contract: Petronas 2021-05 Titan Index: ICE Brent Frontline (3,1,1), Titan Constant: USD/MMBtu -0.62, Titan Multiplier: 0.1203","Initial Titan wiring: TAC BeijingGas Singapore 2021-02, Port:  Titan Contract: BeijingGas Singapore 2021-02 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.11, Titan Multiplier: 1.0"
Gazprom LNG 2021-01,Spot Index,Zeebrugge LNG Terminal,165984.0,2021-08-27,GSPC 2021-05,Mundra,2021-09-14,British Listener,Spot Index,Port Moresby,2021-09-27,S,No,1.0,TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD,0.2,12.67,1.0,JKM Monthly,-0.391,15.264,3570133.75,European Union,India & Middle-East,Confirmed,Confirmed,15.656565656565656,19.288194444444446,,"Initial Titan wiring: Equinor 2021-04 Titan Contract: Gazprom LNG 2021-01 Titan Index: TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD, Titan Constant: USD/MMBtu 0.2, Titan Multiplier: 1.0","Initial Titan wiring: TAC GSPC 2021-05, Port:  Titan Contract: GSPC 2021-05 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.391, Titan Multiplier: 1.0"
T4-243,T4 TRINIDAD,Point Fortin,122121.0,2021-08-28,ABS-85,AES Andres,2021-09-01,British Sapphire,DR,"Freeport LNG Terminal, Texas, U.S.A.",2021-09-06,No,No,,[Multi Load],,3.5984000000000003,1.0,HH Front Month Average (ABS),1.6,5.59923,2764698.0,South America,South America,Confirmed,Confirmed,9.652777777777777,19.928571428571427,Equity pointed to backfillable sales,,
Total 2021-04,Spot Index,Fos - Cavaou LNG Terminal,148342.0,2021-08-30,Trafigura 2021-04,Dahej,2021-09-15,Gaslog Savannah,Fixed,Dahej,2021-09-16,S,No,1.0,TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD,0.35,15.7,,ZERO INDEX,17.1,17.1,3218658.72,European Union,India & Middle-East,Confirmed,Confirmed,13.93452380952381,,,"Initial Titan wiring: TAC Total 2021-04, Port: Cochin Titan Contract: Total 2021-04 Titan Index: TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD, Titan Constant: USD/MMBtu 0.35, Titan Multiplier: 1.0",Initial Titan wiring: Total 2021-04 Titan Contract: Trafigura 2021-04 Fixed: USD/MMBtu 17.1
Petronas FOB 2020-2024-04,Petronas FOB 2020-2024,Bintulu LNG Terminal,153320.0,2021-08-31,CNOOC 2019-2039-39,Tianjin Lingang,2021-09-15,Aristos I,CNOOC 2019-2039,Tianjin Lingang,2021-09-19,No,No,0.0,FOB Petronas 5-year term,0.0,7.95,0.0,CNOOC DES,0.0,10.59,3165899.0,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,7.461309523809525,,,"Load Malaysia: Bintulu, Sarawak, Any floating LNG in Malaysia, Pengerang Regas Terminal.   Narrowed by BP at ADP to specific value (+-5%) within the following ranges:  Bintulu source 3.2 - 3.6Tbtu or 3.2 - 4.0Tbtu if Bintulu accepts a vessel > 156km3,  Malaysian FLNG source: 3.2 - 3.6Tbtu, Pengerang (RGT) source: 3.2 - 4.0Tbtu.    Price: 11.04% Ice Brent Frontline(3,1,1) for <160km3 cargoes loading from Bintulu; 11.24% Ice Brent Frontline(3,1,1) for any other source or volume.",ADP disport: Dalian LNG Terminal
Maintainence at Colon - Sep 21,Maintenance,Point Fortin,,2021-08-31,,Point Fortin,2021-09-05,Kmarin Diamond,Maintenance,"Freeport LNG Terminal, Texas, U.S.A.",2021-09-11,,,,,,,,,,,,South America,South America,,,0.0,0.0,,,
PNG FOB 2018-2023-24,PNG,Port Moresby,173000.0,2021-09-01,DGI 2021-02,Guangdong LNG Terminal,2021-09-16,BW Magnolia,Spot Index,Withnell Bay,2021-10-10,No,No,0.1155,"ICE Brent Frontline (1,1,1)",0.0,8.1372,1.0,JKM Monthly,-0.12,15.535,3630247.0,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,9.955357142857142,5.043478260869565,,,"Initial Titan wiring: PNG FOB 2018-2023-24 Titan Contract: DGI 2021-02 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.12, Titan Multiplier: 1.0"
PetroChina 2021-04 (MOC),Spot Index,Guangdong LNG Terminal,,2021-09-02,BPCHC 2021-2022-06,Guangdong LNG Terminal,2021-09-02,Marvel Eagle,BPCHC 2021-2022,,,,,1.0,JKM Monthly,0.05,15.705,1.0,BPCHC 2021-2022 CNY,0.0,96.2197,3197362.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,,
Qatargas 2021-01 Strip-04,Spot Index,Sagunto LNG Terminal,,2021-09-02,BPGE 2021-09,Sagunto LNG Terminal,2021-09-02,Al Mafyar,Spot Index,,,,,1.0,NBP Front Month Average,0.15,12.4241,1.0,BPGE Sep 21 cargo index,0.0,19.21,2443026.55,European Union,European Union,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: TAC Qatargas 2021-01 Strip-04, Port: Barcelona LNG Terminal Titan Contract: Qatargas 2021-01 Strip Titan Index: NBP Front Month Average, Titan Constant: USD/MMBtu 0.15, Titan Multiplier: 1.0","Initial Titan wiring: Qatargas 2021-01 Strip-04 Titan Contract: BPGE 2021-09 Titan Index: BPGE Sep 21 cargo index, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
Total 2021-05,Fixed,Bilbao - LNG Terminal,155217.0,2021-09-02,,,,,,,,,,,,,,,,,,,European Union,,Terminated,,,,Terminated,"Initial Titan wiring: Repsol 2019-01 Strip-11  Titan Contract: Total 2021-05  Titan Index: TTF HEREN FMA Specific Days (USD - Reuters 4pm FX), Titan Constant: USD/MMBtu 0.05, Titan Multiplier: 1.0",
Gazprom LNG 2021-01a,Fixed,Isle of Grain Gas Terminal,0.0,2021-09-03,,,,,,,,,,,,,,,,,,,European Union,,Unconfirmed,,,,Unconfirmed,,
RWE 2021-06,Spot Index,Klaipeda,,2021-09-03,Equinor 2021-04,Klaipeda,2021-09-03,Madrid Spirit,Spot Index,,,,,1.0,TTF ICE FMA Specific Days (USD - ECB FX),0.425,15.9427,1.0,Equinor 2021-04,0.0,15.269465551,1644563.0,European Union,European Union,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: Equinor 2021-04 Titan Contract: RWE 2021-06 Titan Index: TTF ICE FMA Specific Days (USD - Reuters 4pm FX), Titan Constant: USD/MMBtu 0.425, Titan Multiplier: 1.0","Initial Titan wiring: TAC Equinor 2021-04, Port:  Titan Contract: Equinor 2021-04 Titan Index: TTF ICE FMA (USD - ECB FX), Titan Constant: USD/MMBtu 0.1, Titan Multiplier: 1.0  Max discharge quantity of 3,255,000 removed to stop Malin restricting vessel to a gem class and not lifting min in Zee"
Total Asia 2021-06,Spot Index,Taichung,,2021-09-03,CPC 2017-2021-51,Taichung,2021-09-03,Neptune,CPC 2017-2021,,,,,1.0,JKM Monthly,0.15,15.8,0.115,"DB (3,1,1)-1",0.195,8.5854,2956230.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: CPC 2017-2021-51 Titan Contract: Total Asia 2021-06 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.15, Titan Multiplier: 1.0",
Jera GM 2021-03,Spot Index,Ishikariwan-Shinko,,2021-09-04,Mitsui JP 2021-06,Ishikariwan-Shinko,2021-09-04,Pacific Arcadia,Fixed,,,,,1.0,JKM Monthly,-0.05,15.6,1.0,Mitsui tiered index (for Hokkaido Gas) Sep 2021,0.0,13.383396072000002,3227670.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: BPCHC 2021-2022-06 Titan Contract: Jera GM 2021-03 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.05, Titan Multiplier: 1.0","Initial Titan wiring: TAC Mitsui JP 2021-06, Port:  Titan Contract: Mitsui JP 2021-06 Titan Index: Mitsui tiered index (for Hokkaido Gas) Sep 2021, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0"
Cheniere FOB Strip 2020-07,Spot Index,Corpus Christi,173837.0,2021-09-05,GNA1 Long Term LNG SPA-27,Porto do Acu,2021-09-28,British Contributor,Spot Index,"Freeport LNG Terminal, Texas, U.S.A.",2021-10-25,No,No,1.15,HH Final Settled,1.15,6.1755,,,,,,North America,South America,Confirmed,Confirmed,10.230620155038759,8.527777777777777,"Warning: Spanish Cargoes pointed to Argentina, etc","Initial Titan wiring: TAC Cheniere FOB Strip 2020-07, Port: TAC Europe Titan Contract: Cheniere FOB Strip  2020 Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 1.15, Titan Multiplier: 1.15","Initial Titan wiring: TAC GNA1 Long Term LNG SPA-27, Port: Porto do Acu Titan Contract: GNA1 Long Term LNG SPA Titan Index: GNA1 Long Term LNG SPA, Titan Constant: USD/MMBtu null, Titan Multiplier: 1.0"
Freeport -102,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",151000.0,2021-09-06,TERMOBARRANQUILLA-Multi 2021-03,"Cartagena, Colombia",2021-09-13,British Sapphire,Fixed,"Cartagena, Colombia",2021-09-15,No,No,1.0,Freeport Contract,0.0,5.0255,,[Multi Discharge],,16.23,446088.0,North America,South America,Confirmed,Confirmed,12.196969696969697,,,,"Initial Titan wiring: TAC TERMOBARRANQUILLA-Multi 2021-03, Port:  Titan Contract: TERMOBARRANQUILLA-Multi 2021-03 Fixed: USD/MMBtu 16.23"
Trafigura 2021-03,Fixed,Cochin,,2021-09-07,Exxon SPA-09A,Cochin,2021-09-07,BW Paris,Exxon SPA,Point Fortin,2021-10-14,,,,ZERO INDEX,17.3,17.3,1.0,Exxon SPA-09A,0.0,8.9999,3371760.0,India & Middle-East,India & Middle-East,Confirmed,Confirmed,-0.0,0.0,,Initial Titan wiring: Exxon SPA-09A Titan Contract: Trafigura 2021-03 Fixed: USD/MMBtu 17.3,
Itochu Corp 2021-04,Spot Index,Higashi-Ogishima,,2021-09-07,JERA (TEPCO)-BPS SPA-56,Higashi-Ogishima,2021-09-07,Dukhan,TEPCO 2 (Apr '19 +) Lean,,,,,1.0,JKM Monthly,0.05,15.7,1.0,TEPCO - Combined Rich & Lean,0.0,11.05,3110910.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: JERA (TEPCO)-BPS SPA-56 Titan Contract: Itochu Corp 2021-04 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.05, Titan Multiplier: 1.0",
Freeport -099a,Fixed,Guanabara LNG Terminal,0.0,2021-09-08,IEASA 2021-03 Strip-03,Escobar LNG Terminal,2021-09-11,Kinisis,Spot Index,"Freeport LNG Terminal, Texas, U.S.A.",2021-10-09,No,No,,,,,1.0,HH Final Settled,7.812,12.182,2176647.0,South America,South America,Confirmed,Confirmed,29.24019607843137,10.846666666666666,,,"Initial Titan wiring: Freeport -099 Titan Contract: IEASA 2021-03 Strip Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 7.812, Titan Multiplier: 1.0"
ENI GLOBAL SG IT 2021-01,Spot Index,Yung-an LNG Terminal,,2021-09-10,CPC 2017-2021-57,Yung-an LNG Terminal,2021-09-10,Galicia Spirit,CPC 2017-2021,,,,,1.0,JKM Monthly,0.12,15.775,0.115,"DB (3,1,1)-1",0.195,8.5854,3094450.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: CPC 2017-2021-57 Titan Contract: ENI GLOBAL SG IT 2021-01 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.12, Titan Multiplier: 1.0",
Freeport -103,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",151000.0,2021-09-11,JERA (TEPCO)-BPS SPA-57,Futtsu,2021-10-20,Kmarin Diamond,TEPCO 2 (Apr '19 +) Lean,"Freeport LNG Terminal, Texas, U.S.A.",2021-12-01,S,No,1.0,Freeport Contract,0.0,5.0255,1.0,TEPCO - Combined Rich & Lean,0.0,11.44,3037850.0,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,16.75,16.32418699186992,,,
Total 2021-06,Spot Index,Fos - Cavaou LNG Terminal,0.0,2021-09-12,PTT-SPA-2018-61,Map Ta Phut,2021-10-05,Tristar Ruby,PTT,Bintulu LNG Terminal,2021-10-25,S,No,1.0,Total 2021-06 Bullet FX,0.175,22.312299999999997,1.0,PTT Index,0.0,8.8157,3274230.0,European Union,South East Asia,Confirmed,Confirmed,15.444444444444445,2.2072072072072073,,,
Mitsui SG 2021-05 FE time swap leg-1,Spot Index,Sodegaura,,2021-09-12,TG GLOBAL 2021-01,Sodegaura,2021-09-12,Flex Ranger,Fixed,,,,,1.0,JKM Monthly,0.0,15.655,,ZERO INDEX,13.325,13.325,3949840.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: JERA (TEPCO)-BPS SPA-65 Titan Contract: Mitsui SG 2021-05 FE time swap leg-1 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",Initial Titan wiring: Mitsui SG 2021-05 FE time swap leg-1 Titan Contract: TG GLOBAL 2021-01 Fixed: USD/MMBtu 13.325
Mitsui SG 2021-03 FE DKI swap leg-1,Fixed,Tianjin Lingang,164347.0,2021-09-13,,,,,,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,,Terminated,,,,Terminated,"Initial Titan wiring: TAC Mitsui SG 2021-03 FE DKI swap leg-1, Port: Tianjin Lingang  Titan Contract: Mitsui SG 2021-03 FE DKI swap leg-1  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",
TG GLOBAL 2021-02,Fixed,"Shimizu, (Honshu), Japan",,2021-09-14,Shizuoka 2021-06,"Shimizu, (Honshu), Japan",2021-09-14,Energy Frontier,Fixed,,,,,,ZERO INDEX,13.475,13.475,,ZERO INDEX,13.742,13.742,3343920.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,Initial Titan wiring: Shizuoka 2021-06 Titan Contract: TG GLOBAL 2021-02 Fixed: USD/MMBtu 13.475,"Initial Titan wiring: TAC Shizuoka 2021-06, Port:  Titan Contract: Shizuoka 2021-06 Fixed: USD/MMBtu 13.742"
Chevron 2020-05 Cargo 6,Spot Index,Himeji,,2021-09-14,Kansai-BPS SPA 1-37,Himeji,2021-09-14,Asia Excellence,Kansai,,,,,1.0,Chevron 2020-05,0.0,7.297,1.1,HH Final Settled,7.0,11.81,3435160.0,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: TAC Chevron 2020-05 Cargo 6, Port: TAC Pacific Titan Contract: Chevron 2020-05 Titan Index: ICE Brent Frontline (1,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.10358",
Vitol 2021-01,Spot Index,Rotterdam,,2021-09-14,OMV 2019 Strip-09,Rotterdam,2021-09-14,LNG Megrez,OMV 2019 Strip 2021 (Y2),,,,,1.0,TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD,0.075,15.43,1.0,OMV 2019 Strip (Last 10 days TTF FMA),0.0,15.229999999999999,3704015.58,European Union,European Union,Confirmed,Confirmed,-0.0,,,"Initial Titan wiring: OMV 2019 Strip-09 Titan Contract: Vitol 2021-01 Titan Index: TTF ICIS Heren Front Month Average Reuters 4pm EUR/USD, Titan Constant: USD/MMBtu 0.075, Titan Multiplier: 1.0",Qty 3.4-3.6tbtu +/-5%;  Price 100%xTTF-0.27 (North region) OR 100%xTTF-0.20 (South region)
Freeport -101a,Fixed,Guanabara LNG Terminal,0.0,2021-09-14,IEASA Strip 2021-04-03,Escobar LNG Terminal,2021-09-18,Patris,Spot Index,Point Fortin,2021-10-05,No,No,,,,,1.0,HH Final Settled,10.005,14.375,2028097.0,South America,South America,Confirmed,Confirmed,18.410493827160494,13.00297619047619,,,"Initial Titan wiring: TAC IEASA Strip 2021-04-03, Port:  Titan Contract: IEASA Strip 2021-04 Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 10.005, Titan Multiplier: 1.0"
Freeport -102a,Fixed,"Cartagena, Colombia",0.0,2021-09-15,IEC Strip 2020-05 Strip-02,Hadera LNG Terminal,2021-10-05,British Sapphire,Spot Index,"Freeport LNG Terminal, Texas, U.S.A.",2021-11-04,No,No,,,,,1.0,NBP Final Settled,0.35,16.9797,2711026.0,South America,North Africa and Europe,Confirmed,Confirmed,13.806306306306306,10.171130952380953,,,"Initial Titan wiring: TAC IEC Strip 2020-05 Strip-02, Port:  Titan Contract: IEC Strip 2020-05 Strip Titan Index: NBP Final Settled, Titan Constant: USD/MMBtu 0.35, Titan Multiplier: 1.0"
NWS Upside 2021-03,Spot Index,Withnell Bay,170000.0,2021-09-16,CPC 2020-Strip-06,Yung-an LNG Terminal,2021-10-02,BW Lesmes,Spot Index,Yung-an LNG Terminal,2021-10-03,No,No,0.0,NWS equity (1 July 2016 -),0.0,15.11,1.0,JKM Monthly,-0.094,18.925,3658330.0,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,7.801724137931035,,,"Initial Titan wiring: TAC NWS Upside 2021-03, Port: TAC Pacific Titan Contract: NWS Equity  Titan Index: NWS equity (1 July 2016 -), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0","Initial Titan wiring: TAC CPC 2020-Strip-06, Port:  Titan Contract: CPC 2020-Strip-06 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.094, Titan Multiplier: 1.0"
Fixed Gaslog Savannah Aug-21,Charter In,Dahej,,2021-09-16,,Dahej,2021-09-16,Gaslog Savannah,Charter In,,,,,,,,,,,,,,India & Middle-East,India & Middle-East,,,-0.0,,,,
Fixed Vivit Americas LNG Sep-21,Charter In,Cove Point - LNG,,2021-09-18,,Cove Point - LNG,2021-09-18,Vivit Americas LNG,Charter In,Cove Point - LNG,2021-09-18,,,,,,,,,,,,North America,North America,,,-0.0,-0.0,,,
Kyushu 2020-FOB Bontang 01,Spot Index,Bontang,160637.0,2021-09-18,Unipec 2021-08,Tianjin Sinopec,2021-10-03,BW Helios,Spot Index,Tianjin Sinopec,2021-10-05,No,No,0.11425,"ICE Brent Frontline (1,3,1)",0.0,8.38,1.0,JKM Monthly,-0.052,18.968,3386235.0,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,8.265432098765432,,,"Initial Titan wiring: TAC Kyushu 2020-FOB Bontang 01, Port: TAC Pacific Titan Contract: Kyushu 2020-FOB Bontang 01 Titan Index: ICE Brent Frontline (1,3,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.11425","Initial Titan wiring: TAC Unipec 2021-08, Port:  Titan Contract: Unipec 2021-08 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.052, Titan Multiplier: 1.0"
BHP 2021-02,Spot Index,Withnell Bay,169321.0,2021-09-18,JERA (Chubu)-BPS SPA-37,Futtsu,2021-10-04,Woodside Chaney,Chubu - NBP,Darwin,2021-10-17,No,No,1.0,JKM Monthly,-0.84,18.179,1.0,NBP Front Month Average,2.5,24.6,3971270.0,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,10.718390804597702,11.125,,"Initial Titan wiring: JERA (Chubu)-BPS SPA-37 Titan Contract: BHP 2021-02 Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.84, Titan Multiplier: 1.0",
BPEC 2021-01,Spot Index,Cove Point - LNG,157615.0,2021-09-18,Myt 2021-07,Revithousa LNG Terminal,2021-10-01,Vivit Americas LNG,Spot Index,Revithousa LNG Terminal,2021-10-02,No,No,,[Multi Load],,15.003977873299979,1.0,TTF ICIS Heren Front Month Average (EUR),0.8587,20.0393145,793082.0,North America,European Union,Confirmed,Confirmed,17.21875,,,"Initial Titan wiring: TAC BPEC 2021-01, Port: TAC Europe Titan Contract: BPEC 2021-01 Titan Index: ""First 3 TBtu is Sep21 TTF * 95.6% - 0.65. Additional is Oct21 TTF * 96.2% - 0.60.""","Initial Titan wiring: BPEC 2021-01 Titan Contract: Myt 2021-07 Titan Index: TTF ICIS Heren Front Month Average (EUR), Titan Constant: EUR/MMBtu 0.8587, Titan Multiplier: 1.0"
