Cargo ID,Purchase Contract,Load Port,Max Load Volume (M3),Load Date,Discharge Name,Discharge Port,Discharge Date,Vessel Assignment,Sales Contract,Reposition Port,Reposition Date,Laden Canal,Ballast Canal,Buy %,Buy Index,Buy C,Buy Price,Sell %,Sell Index,Sell C,Sell Price,Expected Discharge Quantity,Load Region,Discharge Region,Load Deal Status,Discharge Deal Status,Laden Speed,Ballast Speed,Category,Load Notes,Discharge Notes,Carriage Type
Mitsui SG 2021-05 FE time swap leg-2,Spot Index,Yung-an LNG Terminal,,03/05/2021,CPC 2017-2021-53,Yung-an LNG Terminal,03/05/2021,Maran Gas Vergina,CPC 2017-2021,Revithousa LNG Terminal,10/07/2021,,,1,JKM Monthly,0,7.017,0.115,"DB (3,1,1)-1",0.195,7.5757,3914870,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,0,,"Initial Titan wiring: CPC 2017-2021-53  Titan Contract: Mitsui SG 2021-05 FE time swap leg-2  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",,BP Delivered
Cheniere FOB Strip 2020-05,Spot Index,Corpus Christi,173837,04/05/2021,Trafigura 2020-04-02,Sines LNG Terminal,22/05/2021,Patris,Spot Index,Damietta,31/05/2021,No,No,1.15,HH Final Settled,1.15,4.5138,1,Trafigura 2020-04-02,0,6.229,3684713,North America,European Union,Confirmed,Confirmed,11.88131313,11.47820336,,"Initial Titan wiring: TAC Cheniere FOB Strip 2020-05, Port: TAC Europe  Titan Contract: Cheniere FOB Strip  2020  Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 1.15, Titan Multiplier: 1.15","Initial Titan wiring: TAC Trafigura 2020-04-02, Port:   Titan Contract: Trafigura 2020-04-02  Titan Index: Platts DES MED Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",BP Delivered
ENI GLOBAL ENERGY 2021-01,Fixed,Dahej,,05/05/2021,Indian Oil 2021-02,Dahej,05/05/2021,Gaslog Savannah,Fixed,Hazira - LNG Terminal,08/06/2021,,,,ZERO INDEX,6.6,6.6,,ZERO INDEX,5.65,5.65,3283031.25,India & Middle-East,India & Middle-East,Confirmed,Confirmed,0,0,,"Initial Titan wiring: TAC ENI GLOBAL ENERGY 2021-01, Port:   Titan Contract: ENI GLOBAL ENERGY 2021-01  Fixed: USD/MMBtu 6.6","Initial Titan wiring: TAC Indian Oil 2021-02, Port:   Titan Contract: Indian Oil 2021-02  Fixed: USD/MMBtu 5.65",BP Delivered
Qatargas 2021-03-02,Fixed,Revithousa LNG Terminal,,06/05/2021,ELPEDISON 2020-01,Revithousa LNG Terminal,06/05/2021,Al Karaana,Spot Index,,,,,,ZERO INDEX,6.65,6.65,1,TTF ICIS Heren Front Month Average (EUR),-0.0879,5.9,3193451,European Union,European Union,Confirmed,Confirmed,0,,,Initial Titan wiring: ELPEDISON 2020-01  Titan Contract: Qatargas 2021-03  Fixed: USD/MMBtu 6.65,"Initial Titan wiring: TAC ELPEDISON 2020-01, Port:   Titan Contract: ELPEDISON 2020-01  Titan Index: TTF ICE FMA (Euros), Titan Constant: EUR/MMBtu -0.0879, Titan Multiplier: 1.0",BP Delivered
Freeport -081,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,06/05/2021,JERA (TEPCO)-BPS SPA-53,Futtsu,09/06/2021,British Mentor,TEPCO 2 (Apr '19 +) Lean,Port Moresby,21/06/2021,P,No,1,Freeport Contract,0,3.3638,1,TEPCO - Combined Rich & Lean,0,9.8,3686460,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,11.94870952,12.60848485,,,,BP Delivered
Freeport -078a,Fixed,Guanabara LNG Terminal,0,06/05/2021,IEASA Strip 2021-01-03,Escobar LNG Terminal,11/05/2021,Flex Volunteer,Spot Index,Escobar LNG Terminal,14/05/2021,No,No,,,,,1,HH Final Settled,3.769,6.694,2147347,South America,South America,Confirmed,Confirmed,13.07708333,,,,"Initial Titan wiring: Freeport -078  Titan Contract: IEASA Strip 2021-01  Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 3.769, Titan Multiplier: 1.0",BP Delivered
Naturgy 2021-03-02,Fixed,Barcelona LNG Terminal,,06/05/2021,Repsol 2019-01 Strip-08,Barcelona LNG Terminal,06/05/2021,Iberica Knutsen,Repsol 2019,,,,,,ZERO INDEX,5.99,5.99,0,TTF ICE FMA (USD - ECB FX),-0.25,5.8316,2994231.93,European Union,European Union,Confirmed,Confirmed,0,,,"Initial Titan wiring: TAC Naturgy 2021-03-02, Port: Huelva  Titan Contract: Naturgy 2021-03  Fixed: USD/MMBtu 6.0",,BP Delivered
Fixed Asia Excellence Apr-21,Charter In,Guangdong LNG Terminal,,09/05/2021,,Guangdong LNG Terminal,09/05/2021,Asia Excellence,Charter In,Yung-an LNG Terminal,28/06/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
Fixed Methane Lydon Volney May-21,Charter In,"Freeport LNG Terminal, Texas, U.S.A.",,10/05/2021,,"Freeport LNG Terminal, Texas, U.S.A.",10/05/2021,Methane Lydon Volney,Charter In,"Freeport LNG Terminal, Texas, U.S.A.",10/05/2021,,,,,,,,,,,,North America,North America,,,0,0,,,,BP Delivered
Freeport -082,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",144000,10/05/2021,Petrobras Strip 2021-03,Guanabara LNG Terminal,25/05/2021,Methane Lydon Volney,Spot Index,Guanabara LNG Terminal,28/05/2021,No,No,1,Freeport Contract,0,3.3638,1,TTF ICE FMA (USD - ECB FX),-0.3,6.7949,969850,North America,South America,Confirmed,Confirmed,16.62944444,,,,"Initial Titan wiring: Freeport -082  Titan Contract: Petrobras Strip 2021  Titan Index: TTF ICIS Heren Front Month Average, Titan Constant: USD/MMBtu -0.3, Titan Multiplier: 1.0",BP Delivered
ADGAS 2021-01,Fixed,Dahej,,10/05/2021,GSPC 2021-01,Dahej,10/05/2021,Shahamah,Spot Index,,,,,,ZERO INDEX,6.57,6.57,1,JKM Monthly,-0.23,6.787,3108066.81,India & Middle-East,India & Middle-East,Confirmed,Confirmed,0,,,Initial Titan wiring: GSPC 2021-01  Titan Contract: ADGAS 2021-01  Fixed: USD/MMBtu 6.57,"Initial Titan wiring: TAC GSPC 2021-01, Port:   Titan Contract: GSPC 2021-01  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.23, Titan Multiplier: 1.0",BP Delivered
Trafigura 2020-04-01,Spot Index,Barcelona LNG Terminal,,11/05/2021,BPGE 2021-01-03,Barcelona LNG Terminal,11/05/2021,Arwa Spirit,Fixed,,,,,1,Trafigura 2020-04-01,0,6.235,1,BPGE May Sale v2,0,6.18,3482143.33,European Union,European Union,Confirmed,Confirmed,0,,,"Initial Titan wiring: OMV 2019 Strip-07  Titan Contract: Trafigura 2020-04-01  Titan Index: Platts DES NWE Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0","Initial Titan wiring: Trafigura 2020-04-01  Titan Contract: BPGE 2021-01  Titan Index: BPGE May Sale v2, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",BP Delivered
Gunvor SG 2021-01,Fixed,Map Ta Phut,,11/05/2021,PTT-SPA-2018-52,Map Ta Phut,11/05/2021,Beidou Star,PTT,,,,,,ZERO INDEX,6.7,6.7,1,PTT Index,0,6.6226,3434692,South East Asia,South East Asia,Confirmed,Confirmed,0,,,Initial Titan wiring: PTT-SPA-2018-52  Titan Contract: Gunvor SG 2021-01  Fixed: USD/MMBtu 6.7,,BP Delivered
PPT 2021-01,Spot Index,Corpus Christi,150517,11/05/2021,Petrobras 2021-09,Guanabara LNG Terminal,28/05/2021,British Listener,Spot Index,Guanabara LNG Terminal,31/05/2021,No,No,1.15,HH Final Settled,2.803,6.17,1,TTF HEREN FMA Specific Days (USD - Reuters 4pm FX),-0.2,7.3845,1055679,North America,South America,Confirmed,Confirmed,14.64516129,,,"Initial Titan wiring: TAC PPT 2021-01, Port: TAC Europe  Titan Contract: PPT 2021-01  Titan Index: HH Final Settled, Titan Constant: USD/MMBtu 2.803, Titan Multiplier: 1.15","Initial Titan wiring: IEASA Strip 2021-01-05  Titan Contract: Petrobras 2021-09  Titan Index: TTF HEREN FMA Specific Days (USD - Reuters 4pm FX), Titan Constant: USD/MMBtu -0.2, Titan Multiplier: 1.0",BP Delivered
NWS Equity -64,NWS Equity 2H,Withnell Bay,170000,11/05/2021,OG T3 2016-13,Himeji,22/05/2021,BW Lesmes,Osaka Gas T3,Withnell Bay,07/06/2021,No,No,0,NWS equity (1 July 2016 -),0,6.42,1.15,HH Final Settled,6.8,10.16,3960560,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,15.95746347,10.45723587,,,,BP Delivered
Petronas 2021-03,Fixed,Shenzhen,,12/05/2021,Unipec 2021-01,Shenzhen,12/05/2021,Seri Camellia,Spot Index,,,,,,ZERO INDEX,5.95,5.95,1,JKM Monthly,-0.051,6.97,3157383,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,,,Initial Titan wiring: Unipec 2021-01  Titan Contract: Petronas 2021-03  Fixed: USD/MMBtu 5.95,"Initial Titan wiring: Petronas 2021-03  Titan Contract: Unipec 2021-01  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.051, Titan Multiplier: 1.0",BP Delivered
Qatargas 2021-02,Fixed,Mina Al-Ahmadi,,14/05/2021,Total 2021-03,Mina Al-Ahmadi,14/05/2021,Al Rekayyat,Spot Index,,,,,,ZERO INDEX,6.87,6.87,1,JKM Monthly,-0.1,6.92,3305870,India & Middle-East,India & Middle-East,Confirmed,Confirmed,0,,,Initial Titan wiring: Total 2021-03  Titan Contract: Qatargas 2021-02  Fixed: USD/MMBtu 6.87,"Initial Titan wiring: TAC Total 2021-03, Port:   Titan Contract: Total 2021-03  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.1, Titan Multiplier: 1.0",BP Delivered
Freeport -083,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",157000,14/05/2021,PTT-SPA-2018-55,Map Ta Phut,19/06/2021,British Partner,PTT,Qalhat LNG Terminal,04/07/2021,No,No,1,Freeport Contract,0,3.3638,1,PTT Index,0,7.2957,3641527,North America,South East Asia,Confirmed,Confirmed,16.80067633,11.99731481,,,,BP Delivered
Fixed Flex Volunteer Apr-21,Charter In,Escobar LNG Terminal,,14/05/2021,,Escobar LNG Terminal,14/05/2021,Flex Volunteer,Charter In,,,,,,,,,,,,,,South America,South America,,,0,,,,,BP Delivered
T4-401,T4 TRINIDAD,Point Fortin,151000,14/05/2021,Indian Oil 2021-03,Ennore,10/06/2021,Kmarin Emerald,Fixed,Corpus Christi,13/07/2021,S,S,,[Multi Load],,2.998534926,,ZERO INDEX,5.79,5.79,3080043.41,South America,India & Middle-East,Confirmed,Confirmed,15.76216657,14.8994709,,,"Initial Titan wiring: TAC Indian Oil 2021-03, Port:   Titan Contract: Indian Oil 2021-03  Fixed: USD/MMBtu 5.79",BP Delivered
Mitsui SG 2021-02 FE DKI swap leg - 1,Fixed,Tianjin Lingang,164347,14/05/2021,,,,,,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,,Terminated,,,,Terminated,"Initial Titan wiring: Mitsui SG 2021-01 -Leg-2-02  Titan Contract: Mitsui SG 2021-02 FE DKI swap leg-1  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 1.0",,BP Delivered
PNG FOB 2018-2023-20a,Spot Index,Tianjin Lingang,0,15/05/2021,POSCO INT SG 2021-01,Gwangyang - LNG Terminal,19/05/2021,Aristos I,Fixed,Soyo Angola LNG Terminal,13/06/2021,No,No,,,,,,ZERO INDEX,8.54,8.54,534830,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,11.53532845,17.21642677,,,Initial Titan wiring: CNOOC 2019-2039-33  Titan Contract: POSCO INT SG 2021-01  Fixed: USD/MMBtu 8.54,BP Delivered
Novatek 2020-03,Spot Index,Rotterdam,,15/05/2021,OMV 2019 Strip-07,Rotterdam,15/05/2021,Nikolay Urvantsev,OMV 2019 Strip 2021 (Y2),,,,,1,TTF ICIS Heren Front Month Average (EUR),-0.18,5.8101,1,OMV 2019 Strip (Last 10 days TTF FMA),0,7.26,3727586.02,European Union,European Union,Confirmed,Confirmed,0,,,"Initial Titan wiring: TAC Novatek 2020-03, Port: Rotterdam  Titan Contract: Novatek 2020-03  Titan Index: TTF ICIS Heren Front Month Average (EUR), Titan Constant: EUR/MMBtu -0.18, Titan Multiplier: 1.0",Qty 3.4-3.6tbtu +/-5%;  Price 100%xTTF-0.27 (North region) OR 100%xTTF-0.20 (South region),BP Delivered
Gunvor 2020-05 Strip-02,Spot Index,Sabine Pass LNG Terminal,153112,15/05/2021,Petrobras 2021-13,Guanabara LNG Terminal,03/06/2021,Tristar Ruby,Spot Index,Guanabara LNG Terminal,08/06/2021,No,No,1,TTF ICE FMA (USD - Reuters 4pm FX) ,-0.53,6.57,1,TTF HEREN FMA Specific Days (USD - Reuters 4pm FX),-0.2,8.7912,1132765,North America,South America,Confirmed,Confirmed,12.39291667,,,"Initial Titan wiring: TAC Gunvor 2020-05 Strip-02, Port: TAC Europe Titan Contract: Gunvor 2020-05 Strip Titan Index: TTF ICE FMA (USD - Reuters 4pm FX) , Titan Constant: USD/MMBtu -0.53, Titan Multiplier: 1.0","Initial Titan wiring: Gunvor 2020-05 Strip-02  Titan Contract: Petrobras 2021-13  Titan Index: TTF HEREN FMA Specific Days (USD - Reuters 4pm FX), Titan Constant: USD/MMBtu -0.2, Titan Multiplier: 1.0",BP Delivered
Fixed Maran Gas Sparta May-21,Charter In,Withnell Bay,,16/05/2021,,Withnell Bay,16/05/2021,Maran Gas Sparta,Charter In,Withnell Bay,18/05/2021,,,,,,,,,,,,South East Asia,South East Asia,,,0,0,,,,BP Delivered
Shell JKTC 2020-21-06,Fixed,Himeji,0,16/05/2021,,,,,,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,,Terminated,,,,Terminated,,,BP Delivered
Chevron 2020-05 Cargo 2,Spot Index,Shenzhen,,17/05/2021,CNOOC 2020-2021-12,Shenzhen,17/05/2021,Asia Endeavour,CNOOC 2020-21,Sakai LNG,16/06/2021,,,1,Chevron 2020-05,0,6.764,1,CNOOC 2020-21 (Option 2018) ICE Brent,0,8.1501,3578666,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,0,,"Initial Titan wiring: TAC Chevron 2020-05 Cargo 2, Port: TAC Pacific  Titan Contract: Chevron 2020-05  Titan Index: ICE Brent Frontline (1,1,1), Titan Constant: USD/MMBtu 0.0, Titan Multiplier: 0.10358",,BP Delivered
Fixed Gaslog Shanghai May-21,Charter In,Escobar LNG Terminal,,17/05/2021,,Escobar LNG Terminal,17/05/2021,Gaslog Shanghai,Charter In,Cove Point - LNG,01/06/2021,,,,,,,,,,,,South America,South America,,,0,0,,,,BP Delivered
Petronas 2021-02,Fixed,Yangshan Deep Water Port,,17/05/2021,Unipec 2021-02,Yangshan Deep Water Port,17/05/2021,Grace Barleria,Spot Index,,,,,,ZERO INDEX,5.97,5.97,1,JKM Monthly,-0.022,7,3313024,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,,,"Initial Titan wiring: TAC Petronas 2021-02, Port: Tianjin Lingang  Titan Contract: Petronas 2021-02  Fixed: USD/MMBtu 5.97","Initial Titan wiring: TAC Unipec 2021-02, Port:   Titan Contract: Unipec 2021-02  Titan Index: JKM Monthly, Titan Constant: USD/MMBtu -0.022, Titan Multiplier: 1.0",BP Delivered
49 day maintenance Korea,Maintenance,Inchon - Soraepogu LNG Terminal,,18/05/2021,,Inchon - Soraepogu LNG Terminal,06/07/2021,BW Magnolia,Maintenance,Port Moresby,10/08/2021,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,0,,,,BP Delivered
NWS Equity -37,NWS Equity 2H,Withnell Bay,158000,18/05/2021,JERA (TEPCO)-BPS SPA-59,Higashi-Ogishima,29/05/2021,Maran Gas Sparta,TEPCO 2 (Apr '19 +) Rich,Higashi-Ogishima,30/05/2021,No,No,0,NWS equity (1 July 2016 -),0,6.42,1,TEPCO - Combined Rich & Lean,0,9.16,3666690,South East Asia,Japan / Korea / China / Taiwan,Confirmed,Confirmed,16.3825268,,,,,BP Delivered
Fixed Merchant Apr-21,Charter In,Yung-an LNG Terminal,,18/05/2021,,Yung-an LNG Terminal,18/05/2021,Merchant,Charter In,,,,,,,,,,,,,,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,,,0,,,,,BP Delivered
Novatek 2021-01,Spot Index,Isle of Grain Gas Terminal,,18/05/2021,BPGM IoG-71,Isle of Grain Gas Terminal,18/05/2021,Vladimir Rusanov,Isle of Grain,,,,,1,NBP ICE FMA Euros,-0.18,5.6918,,ZERO INDEX,7.99,7.99,3748822,European Union,European Union,Confirmed,Confirmed,0,,Longs against IoG,"Initial Titan wiring: BPGM IoG-71  Titan Contract: Novatek 2021-01  Titan Index: NBP ICE FMA Euros, Titan Constant: EUR/MMBtu -0.18, Titan Multiplier: 1.0",,BP Delivered
Freeport -084,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",170000,20/05/2021,CPC 2017-2021-54,Yung-an LNG Terminal,25/06/2021,Sean Spirit,CPC 2017-2021,Cameron LNG,30/07/2021,S,No,1,Freeport Contract,0,3.3638,0.115,"DB (3,1,1)-1",0.195,7.8264,3562790,North America,Japan / Korea / China / Taiwan,Confirmed,Confirmed,16.65299776,18.06969343,,,,BP Delivered
OG Strip purchase 2021-2022 -01,OG Strip Purchase 2021-2022,Higashi-Ogishima,,21/05/2021,Jera GM 2021-02 Leg-2,Higashi-Ogishima,21/05/2021,LNG Dream,Fixed,Joetsu,24/02/2022,,,0.137,"JCC (1,3,1)",-0.9,6.75,,ZERO INDEX,6,6,3257170,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,0,,,"Initial Titan wiring: TAC Jera GM 2021-02 Leg-2, Port:   Titan Contract: Jera GM 2021-02 Leg-2  Fixed: USD/MMBtu 6.0",BP Delivered
OG T2 2016-28,Osaka Gas T2,Bei Hai,,21/05/2021,Unipec 2021-07,Bei Hai,21/05/2021,LNG Jupiter,Fixed,Himeji,21/08/2021,,,1,"JLC (3,2,1)",-0.15,8.3,,ZERO INDEX,6.87,6.87,3403056,Japan / Korea / China / Taiwan,Japan / Korea / China / Taiwan,Confirmed,Confirmed,0,0,,,Initial Titan wiring: OG T2 2016-28  Titan Contract: Unipec 2021-07  Fixed: USD/MMBtu 6.87,BP Delivered
OMAN FOB SPA-54 DQT,Oman FOB,Qalhat LNG Terminal,170000,23/05/2021,,,,,,,,,,,,,,,,,,,India & Middle-East,,Unconfirmed,,,,Unconfirmed,,,BP Delivered
T4-235,T4 TRINIDAD,Point Fortin,135814,26/05/2021,ABS-82,AES Andres,29/05/2021,Kmarin Diamond,DR,"Freeport LNG Terminal, Texas, U.S.A.",10/06/2021,No,No,,[Multi Load],,2.357002,1,HH Front Month Average (ABS),1.6,4.256,3013934,South America,South America,Confirmed,Confirmed,14.47827533,6.643629736,Equity pointed to backfillable sales,,,BP Delivered
Freeport -290,Freeport,"Freeport LNG Terminal, Texas, U.S.A.",168900,27/05/2021,Petrobras 2021-14,Salvador,09/06/2021,Aristidis I,Spot Index,Guanabara LNG Terminal,14/06/2021,No,No,1,Freeport Contract,0,3.3638,1,TTF HEREN FMA Specific Days (USD - Reuters 4pm FX),-0.2,8.8286,1630371,North America,South America,Confirmed,Confirmed,17.01188406,16.12041667,,,"Initial Titan wiring: Freeport -290  Titan Contract: Petrobras 2021-14  Titan Index: TTF HEREN FMA Specific Days (USD - Reuters 4pm FX), Titan Constant: USD/MMBtu -0.2, Titan Multiplier: 1.0",BP Delivered
